" Command Line"," Source base directory"," Destination directory"," File name template"," Directories processed"," Total data in bytes"," Elapsed time in sec","min)"," Files copied"," Log File Appended"," Exit code"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""R:\speed-test\big_files\"",""*"","1","527,331,269","52.89","598.2","1","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""R:\speed-test\big_files\"",""*"","1","527,331,269","54.84","576.9","1","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""R:\speed-test\big_files\"",""*"","1","527,331,269","52.58","601.8","1","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""R:\speed-test\big_files\"",""*"","1","527,331,269","55.47","570.4","1","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""R:\speed-test\big_files\"",""*"","1","527,331,269","53.66","589.7","1","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""R:\speed-test\big_files\"",""*"","1","527,331,269","54.81","577.2","1","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""R:\speed-test\big_files\"",""*"","1","527,331,269","54.11","584.7","1","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""R:\speed-test\big_files\"",""*"","1","527,331,269","52.88","598.4","1","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""R:\speed-test\big_files\"",""*"","1","527,331,269","52.19","606.3","1","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log",""X:\Software\Speed-test\source\big_files\"",""R:\speed-test\big_files\"",""*"","1","527,331,269","53.28","593.8","1","X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log","0 (No error, Successful operation)"
